Вакансия;Ссылка;Компания;Оплата;Описание;Требования
Разработчик Python/Django + React.js;https://omsk.hh.ru/vacancy/31844761?query=django; Ivelum;145 000-255 000 руб.;;...разработке от трех лет, и в том числе с использованием Django. Мы также ожидаем, что у вас есть опыт и...
Программист Python;https://omsk.hh.ru/vacancy/31651569?query=django; Insilico Medicine, Inc;100 000-180 000 руб.;Алгоритмическая подготовка.;Техническое образование или эквивалентный практический опыт. Хороший опыт разработки на Python. Опыт разработки веб-приложений.
Web-разработчик Python/Django (Middle);https://omsk.hh.ru/vacancy/31634070?query=django; Direct Line;от 50 000 руб.;Разработка сайтов, торговых площадок на Django и Python 3. Разработка интеграционных решений для сайтов. Доработка сайтов, модулей и компонентов. ;Хорошее знание Python. Уверенное знание Django. Понимание ORM. Опыт работы с Git. СУБД PostgreSQL. Опыт работы на Linux. 
Разработчик Python / Django;https://omsk.hh.ru/vacancy/31709650?query=django;ООО БИТ;от 45 000 руб.;Разработка Web и поддержка приложения на Django 2. Устранение уязвимостей. Модификация реализованого функционала.;Опыт разработки, а так же наличие примеров работ на Python 3. Знание ООП. Хорошее знание Django. Понимание командной работы на...
Программист Python Django;https://omsk.hh.ru/vacancy/31342470?query=django; BR Lab;100 000-150 000 руб.;Разработка backend (Python, Django) и REST API. Участвовать в разработке сервисов с применением машинного обучения. Заниматься оптимизацией и рефактрингом кода. ;Опыт с Python и Django. Опыт работы с PostgreSQL. Желание писать красивый и поддерживаемый код. Знание паттернов разработки и принципов...
Программист Python Django;https://omsk.hh.ru/vacancy/31343370?query=django; BR Lab;80 000-120 000 руб.;Разработка backend (Python, Django) и REST API. - Участвовать в разработке сервисов с применением машинного обучения.;Опыт с Python и Django. - Опыт работы с PostgreSQL. - Желание писать красивый и поддерживаемый код. - Знание паттернов разработки и принципов...
Программист Python/Django;https://omsk.hh.ru/vacancy/31644976?query=django; ГБУ ДО Дом юношеского технического творчества Челябинской области;20 000-25 000 руб.;Внесение изменений в разработанные ранее сайты. Возможны другие задачи по мере профессионального развития специалиста. Создание веб-сайтов по техническому заданию.;Навыки веб-разработки, желательно Python/Django. Навыки вёрстки и уверенное владение HTML/CSS. Опыт использования jQuery. Опыт работы с GNU...
Разработчик Python;https://omsk.hh.ru/vacancy/31617755?query=django; NAJET;90 000-130 000 руб.;Работа по ТЗ в составе группы участников. Качественная разработка и отладка программного кода. Качественное внедрение проектов.;Опыт работы с фреймворками: Tornado (async), Flask, Django. Опыт написания SQL запросов. Опыт работы с linux. Опыт работы в команде. 
Senior Python Developer;https://omsk.hh.ru/vacancy/31987135?query=django;ООО Центробит;150 000-220 000 руб.;Развитием и поддержкой e-commerce платформы. Разработкой новой функциональности, сопровождением уже имеющихся клиентов. Разработкой инфраструктурных сервисов. Работа над серьезными проектами...;Опыт Python разработки от 2 лет. Знание фреймворка Django обязательно. Опыт работы с Redis, Celery. Опыт работы с PostgreSQL. 
Python Senior Backend Developer;https://omsk.hh.ru/vacancy/31620585?query=django;ООО Декаст М;от 200 000 руб.;Работа с большими данными, анализ данных, разработка парсеров и интеграций. Поддержка высоконагруженных систем. DevOps и Continuous Integration: docker, docker-compose...;Опыт производственной разработки в команде на Django с Python 3. Понимание объектно-ориентированного, функционального и структурного программирования. АПИ, БД, ОО...
